id;name;website;description;address;vat;mobile;linkedin;twitter;skype
1;plug-and-play;mobile Shirt;SQL Iraqi Dinar;relationships bi-directional;Buckinghamshire;niches;maroon New Hampshire platforms;visualize SMTP;Integration Virgin Islands, U.S.
2;silver Jewelery Fish;matrix;Berkshire Refined bandwidth;Valleys red;FTP Bedfordshire;deposit Central Mexican Peso Mexican Uni;Crescent deposit;Falkland Islands (Malvinas) Mews Jeweler;plug-and-play Fresh Car
3;Solutions Sports Keyboard;mesh;Automotive withdrawal Rubber;Planner Libyan Arab Jamahiriya functionalities;content-based Chief;Chief overriding niches;Fully-configurable Sleek Rubber Table Le;Ergonomic Wooden Cheese;Kyat
4;Isle;North Carolina;Guyana;Right-sized Beauty;connect wireless;Personal Loan Account e-business;Sharable bus Hill;payment definition;California magnetic
5;Electronics;Beauty;Fantastic system-worthy International;virtual Loop;Tasty Leone;Global tertiary;Handmade Cotton Table CSS niches;multi-byte incremental visionary;Handmade Connecticut applications
6;West Virginia connecting;Sleek Metal Pizza Pe;payment;Canyon port Shirt;context-sensitive Refined Wooden Hat Spe;Quality-focused Applications viral;Concrete Chicken;Chicken Rustic;Future Washington
7;Product;Georgia Human Virtua;Berkshire connect;compressing;hacking cutting-edge magenta;back-end Automotive Kids;Sausages;interactive benchmark collaborative;Tasty Soft Pants
8;Exclusive;facilitate Analyst;Turkmenistan;Distributed Indian Rupee Ngultrum;Handcrafted;Designer Rue Falkland Islands (Malvinas);Interactions;Route;Automated Facilitator
9;Cape Verde Profit-focused Kip;Pennsylvania SSL;Cambridgeshire;maroon calculating;24/7 Cotton partnerships;Kids Savings Account Lebanon;United States of America Intuitive;Gloves;payment Plastic Checking Account
10;UAE Dirham copy solutions;viral Accounts invoi;Home Loan Account Sports;transition;Small Freeway;Operations;solid state hack Switchable;Silver;wireless
